# Time-averaged data for fix rdf_fix
# TimeStep Number-of-rows
# Row c_rdfOO[1] c_rdfOO[2] c_rdfOO[3] c_rdfOH[1] c_rdfOH[2] c_rdfOH[3]
10000 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.0739809 0.009
14 1.66174 0 0 1.66174 1.31092 0.195
15 1.78483 0 0 1.78483 3.36645 0.746
16 1.90793 0 0 1.90793 2.66818 1.245
17 2.03102 0 0 2.03102 1.39675 1.541
18 2.15411 0 0 2.15411 0.604084 1.685
19 2.2772 0 0 2.2772 0.315325 1.769
20 2.40029 0 0 2.40029 0.216244 1.833
21 2.52339 0.403965 0.066 2.52339 0.174265 1.89
22 2.64648 4.10671 0.804 2.64648 0.308529 2.001
23 2.76957 6.5546 2.094 2.76957 0.631963 2.25
24 2.89266 3.98718 2.95 2.89266 1.41925 2.86
25 3.01575 1.88562 3.39 3.01575 2.36323 3.964
26 3.13885 0.996914 3.642 3.13885 2.67554 5.318
27 3.26194 0.776579 3.854 3.26194 2.64578 6.764
28 3.38503 0.88441 4.114 3.38503 2.33794 8.14
29 3.50812 0.829775 4.376 3.50812 1.85722 9.314
30 3.63121 1.04643 4.73 3.63121 1.72754 10.484
31 3.75431 1.20017 5.164 3.75431 1.58022 11.628
32 3.8774 1.4726 5.732 3.8774 1.43486 12.736
33 4.00049 1.55386 6.37 4.00049 1.43674 13.917
34 4.12358 1.83384 7.17 4.12358 1.3969 15.137
35 4.24667 1.65992 7.938 4.24667 1.40455 16.438
36 4.36977 1.80451 8.822 4.36977 1.45298 17.863
37 4.49286 1.90396 9.808 4.49286 1.43811 19.354
38 4.61595 1.9172 10.856 4.61595 1.45291 20.944
39 4.73904 1.59674 11.776 4.73904 1.47638 22.647
40 4.86213 1.51692 12.696 4.86213 1.39187 24.337
41 4.98523 1.41471 13.598 4.98523 1.4744 26.219
42 5.10832 1.38321 14.524 5.10832 1.49673 28.225
43 5.23141 1.45846 15.548 5.23141 1.45416 30.269
44 5.3545 1.14746 16.392 5.3545 1.39894 32.329
45 5.47759 1.15363 17.28 5.47759 1.35494 34.417
46 5.60069 1.17307 18.224 5.60069 1.40218 36.676
47 5.72378 1.21597 19.246 5.72378 1.33242 38.918
48 5.84687 1.27933 20.368 5.84687 1.35437 41.296
49 5.96996 1.12213 21.394 5.96996 1.22753 43.543
50 6.09305 1.16124 22.5 6.09305 1.25606 45.938
51 6.21615 1.35378 23.842 6.21615 1.21285 48.345
52 6.33924 1.41812 25.304 6.33924 1.22338 50.87
53 6.46233 1.37208 26.774 6.46233 1.2355 53.52
54 6.58542 1.33205 28.256 6.58542 1.28178 56.375
55 6.70851 1.28535 29.74 6.70851 1.29402 59.366
56 6.83161 1.37309 31.384 6.83161 1.267 62.403
57 6.9547 1.32169 33.024 6.9547 1.30507 65.645
58 7.07779 1.3337 34.738 7.07779 1.27601 68.928
59 7.20088 1.22986 36.374 7.20088 1.28908 72.361
60 7.32397 1.26735 38.118 7.32397 1.29476 75.928
61 7.44707 1.21736 39.85 7.44707 1.25722 79.509
62 7.57016 1.26108 41.704 7.57016 1.27817 83.271
63 7.69325 1.17758 43.492 7.69325 1.22838 87.005
64 7.81634 1.20076 45.374 7.81634 1.22155 90.838
65 7.93943 1.20216 47.318 7.93943 1.21084 94.758
66 8.06253 1.20771 49.332 8.06253 1.18823 98.725
67 8.18562 1.15653 51.32 8.18562 1.18037 102.787
68 8.30871 1.16656 53.386 8.30871 1.15976 106.899
69 8.4318 1.20184 55.578 8.4318 1.16503 111.153
70 8.55489 1.2165 57.862 8.55489 1.16314 115.525
71 8.67799 1.21536 60.21 8.67799 1.15753 120.002
72 8.80108 1.17255 62.54 8.80108 1.17439 124.674
73 8.92417 1.12966 64.848 8.92417 1.16862 129.454
74 9.04726 1.15627 67.276 9.04726 1.16582 134.355
75 9.17035 1.16252 69.784 9.17035 1.13751 139.268
76 9.29345 1.11388 72.252 9.29345 1.14771 144.359
77 9.41654 1.14737 74.862 9.41654 1.13898 149.546
78 9.53963 1.10853 77.45 9.53963 1.15492 154.944
79 9.66272 1.11136 80.112 9.66272 1.13882 160.405
80 9.78581 1.14545 82.926 9.78581 1.14126 166.018
81 9.90891 1.14496 85.81 9.90891 1.14878 171.811
82 10.032 1.16352 88.814 10.032 1.13759 177.691
83 10.1551 1.13699 91.822 10.1551 1.12736 183.662
84 10.2782 1.1269 94.876 10.2782 1.12964 189.791
85 10.4013 1.12921 98.01 10.4013 1.10666 195.94
86 10.5244 1.10858 101.16 10.5244 1.12312 202.329
87 10.6475 1.07072 104.274 10.6475 1.10176 208.744
88 10.7706 1.12905 107.634 10.7706 1.1118 215.368
89 10.8936 1.12995 111.074 10.8936 1.09355 222.033
90 11.0167 1.13825 114.618 11.0167 1.07775 228.751
91 11.1398 1.12328 118.194 11.1398 1.09658 235.74
92 11.2629 1.08412 121.722 11.2629 1.10652 242.949
93 11.386 1.09869 125.376 11.386 1.09338 250.229
94 11.5091 1.06707 129.002 11.5091 1.08997 257.644
95 11.6322 1.10799 132.848 11.6322 1.08515 265.185
96 11.7553 1.06347 136.618 11.7553 1.11073 273.068
97 11.8784 1.05591 140.44 11.8784 1.083 280.916
98 12.0015 1.03273 144.256 12.0015 1.0678 288.815
99 12.1246 1.04157 148.184 12.1246 1.0604 296.821
100 12.2477 1.08155 152.346 12.2477 1.06242 305.006
10100 100
1 0.061546 0 0 0.061546 0 0
2 0.184638 0 0 0.184638 0 0
3 0.30773 0 0 0.30773 0 0
4 0.430822 0 0 0.430822 0 0
5 0.553914 0 0 0.553914 0 0
6 0.677006 0 0 0.677006 0 0
7 0.800098 0 0 0.800098 0 0
8 0.92319 0 0 0.92319 0 0
9 1.04628 0 0 1.04628 0 0
10 1.16937 0 0 1.16937 0 0
11 1.29247 0 0 1.29247 0 0
12 1.41556 0 0 1.41556 0 0
13 1.53865 0 0 1.53865 0.0735785 0.009
14 1.66174 0 0 1.66174 1.33183 0.199
